0,200.37,280.46,366.08,410.44,,
0.14227,200.47,280.69,366.35,410.66,,
0.28455,200.8,281.4,367.17,411.3,,
0.42682,201.39,282.64,368.61,412.43,,
0.5691,202.31,284.51,370.74,414.13,,
0.71137,203.74,287.14,373.72,416.5,,
0.85365,205.93,290.77,377.75,419.67,,
0.99592,209.39,295.7,383.12,423.82,,
1.1382,214.9,302.44,390.2,429.23,,
1.2805,223.65,311.94,399.51,435.91,,
1.4227,237.25,325.32,408.26,443.16,,
1.565,246.88,341.49,416.68,451.97,,
1.7073,251.88,356.05,429.91,465.27,,
1.8496,261.25,375.41,449.24,485.34,,
1.9918,265.85,400.93,479.72,512.24,,
2.1341,279.94,407.81,498.72,530.87,,
2.2764,312.56,381.68,472.74,515.43,,
2.4187,317.59,356.08,442.51,485.04,, 
2.5609,302.1,338.68,426.25,465.17,,
2.7032,295.11,319.79,414.74,451.94,,
2.8455,290.67,304.37,404.98,442.37,,
2.9878,287.51,292.94,393.71,433.45,,
3.13,284.77,285.67,382.53,424.7,,
3.2723,281.94,281.62,373.38,417.5,,
3.4146,278.92,279.18,365.96,411.57,,
3.5569,275.77,278.13,360.64,406.17,,
3.6991,269.03,278.21,358.11,399.93,,
3.8414,257.95,279.16,357.48,393.84,,
3.9837,244.25,280.76,358.25,389.88,,
4.126,229.64,282.78,359.91,387.94,,
4.2682,217.27,285.86,362.44,387.66,,
4.4105,207.02,290.37,365.42,388.13,,
4.5528,198.36,295.68,368.27,388.67,,
4.6951,191.29,301.32,371.09,389.07,,
4.8373,185.56,306.88,373.91,389.28,,
4.9796,180.32,312.06,376.61,389.28,,
5.1219,174.55,316.74,379.13,389.07,,
5.2642,167.05,320.78,381.46,388.62,,
5.4064,156.96,323.99,383.53,387.91,,
5.5487,144.78,326.2,385.29,386.9,,
5.691,135.37,327.26,386.69,385.58,,
5.8333,139.26,327.1,387.66,383.92,,
5.9755,167.62,325.75,388.16,381.94,,
6.1178,223.88,323.49,388.13,379.67,,
6.2601,293.64,320.93,387.57,377.14,,
6.4024,343.32,319.2,386.51,374.44,,
6.5446,371.74,320.42,385.09,371.68,,
6.6869,390.08,328.34,383.57,368.98,,
6.8292,371.48,336.17,364.69,348.98,,
6.9487,309.32,312.11,335.23,312.48,,
7.0208,299.49,244.91,258.86,228.68,,
7.0727,274.11,206.17,165.95,200.62,,
7.1524,321.94,309.59,344.07,364.32,,
7.2549,358.3,345.22,387.36,403.45,,
7.3733,385.6,358.71,425.45,447.02,,
7.5,407.97,365.5,456.91,480.78,,
7.6545,409.28,367,459.72,478.78,,
7.7939,376.45,358.83,422.05,433.14,,
7.9045,312.19,325.42,339.62,345.76,,
7.9755,200.42,260.36,222.3,223.44,,
8,85.008,136.18,122.97,113.41,,
8.0245,191.5,95.608,247.47,224.02,,
8.0955,265.55,210.23,321.9,312.64,,
8.2061,274.17,267.33,348.55,344.98,,
8.3455,260.26,274.09,352.11,350.78,,
8.5,238.2,263.52,346.6,345.74,,
8.6267,230.09,238.1,330.47,326.16,,
8.7451,223.01,207.27,303.13,293.01,,
8.8476,187.86,174.5,266.3,230.46,,
8.9273,121.88,131.35,196.43,152.2,,
8.9792,118.17,77.258,136.59,159.56,,
9.0513,146.24,42.81,180.08,210.46,,
9.1708,143.47,88.969,270.3,288.54,,
9.3367,55.58,159.28,302.26,328.42,,
9.5025,124.15,235.15,335.38,359.83,,
9.6683,236.86,283.33,382.38,394.87,,
9.8342,310.74,307.73,430.37,439.04,,
10,168.56,160.63,227.35,230.67,,
10.4,1.72E-07,9.27E-08,1.36E-07,3.31E-08,,
10.6,6.02E-08,3.23E-08,4.72E-08,9.79E-09,,
10.8,1.05E-08,5.79E-09,8.47E-09,9.00E-09,,
11,4.44E-08,2.41E-08,3.49E-08,8.35E-09,,
